input_size,sample_num,runtime
68,256,0.2608
69,256,0.2612
70,256,0.396099
71,256,0.2573
72,256,0.26589999999999997
73,256,0.2616
74,256,0.25789999999999996
75,256,0.3868
76,256,0.2555
77,256,0.271901
78,256,0.261401
79,256,0.2662
80,256,0.25359899999999996
81,256,0.2557
82,256,0.255699
83,256,0.2792
84,256,0.259501
85,256,0.2541
86,256,0.262199
87,256,0.2565
88,256,0.2568
89,256,0.25860099999999997
90,256,0.2525
91,256,0.2592
92,256,0.261499
93,256,0.26110099999999997
94,256,0.25329999999999997
95,256,0.384899
96,256,0.2586
97,256,0.2539
98,256,0.2607
99,256,0.2633
100,256,0.261699
1,512,1.2006
2,512,0.9486009999999999
3,512,0.9330999999999999
4,512,0.948101
5,512,1.098701
6,512,1.238799
7,512,1.7720989999999999
8,512,1.6071
9,512,0.9437
10,512,0.9378
11,512,0.9526
12,512,0.9617
13,512,1.128801
14,512,0.9531
15,512,0.9659
16,512,1.2392999999999998
17,512,0.9257989999999999
18,512,0.9428
19,512,0.9370989999999999
20,512,0.9249999999999999
21,512,0.9337989999999999
22,512,0.9246
23,512,0.937001
24,512,0.9067
25,512,0.8996
26,512,0.9437989999999999
27,512,1.0254999999999999
28,512,0.9096
29,512,0.9003
30,512,0.918101
31,512,0.9077999999999999
32,512,0.9097999999999999
33,512,0.909399
34,512,1.585399
35,512,0.9190999999999999
36,512,0.9164
37,512,1.3935
38,512,1.1976
39,512,1.4437
40,512,1.3959
41,512,0.9136
42,512,1.2002
43,512,0.8876
44,512,1.1256
45,512,0.8946999999999999
46,512,0.9792
47,512,1.199899
48,512,0.910999
49,512,1.0828
50,512,1.5848989999999998
51,512,0.9053009999999999
52,512,0.9057
53,512,0.895801
54,512,0.907899
55,512,1.0159
56,512,0.9156989999999999
57,512,0.9203
58,512,0.9432999999999999
59,512,0.9234
60,512,0.9107
61,512,0.9115
62,512,0.9052
63,512,0.9043009999999999
64,512,0.9018999999999999
65,512,0.8942
66,512,1.1292
67,512,0.9084
68,512,0.920801
69,512,0.9019999999999999
70,512,1.4029989999999999
71,512,0.8987999999999999
72,512,1.4013
73,512,0.8912009999999999
74,512,0.8841
75,512,0.958901
76,512,0.8848999999999999
77,512,0.8908999999999999
78,512,0.8917999999999999
79,512,1.2791
80,512,1.440599
81,512,1.4574989999999999
82,512,1.2044
83,512,1.067299
84,512,0.8665999999999999
85,512,1.1738
86,512,1.0975
87,512,0.878201
88,512,0.865999
89,512,0.874
90,512,0.876899
91,512,0.8804
92,512,1.0083
93,512,1.1879
94,512,0.871
95,512,0.8631989999999999
96,512,0.8548009999999999
97,512,0.860499
98,512,1.15
99,512,0.850001
100,512,0.8672989999999999
1,1024,3.285599
2,1024,3.7882
3,1024,4.0171
4,1024,3.2459
5,1024,3.2121009999999997
6,1024,3.2079
7,1024,3.1841
8,1024,3.344
9,1024,4.303999999999999
10,1024,3.5130999999999997
11,1024,3.1999
12,1024,3.381199
13,1024,3.2052
14,1024,3.1885999999999997
15,1024,3.174899
16,1024,3.178
17,1024,4.1190999999999995
18,1024,4.1960999999999995
19,1024,3.9976
20,1024,3.6712
21,1024,3.8346
22,1024,3.6326009999999997
23,1024,3.2554
24,1024,3.1237999999999997
25,1024,3.097
26,1024,3.1404989999999997
27,1024,3.1945989999999997
28,1024,3.274799
29,1024,3.1734999999999998
30,1024,3.140301
31,1024,3.1906999999999996
32,1024,3.1494
33,1024,3.570099
34,1024,3.108799
35,1024,3.1742
36,1024,3.155499
37,1024,3.1227
38,1024,3.9727989999999997
39,1024,3.3851999999999998
40,1024,3.1399
41,1024,3.8453
42,1024,4.0476
43,1024,3.1669
44,1024,3.1121
45,1024,3.5341
46,1024,3.059001
47,1024,3.4012
48,1024,3.0837
49,1024,3.8710999999999998
50,1024,3.344001
51,1024,3.1509
52,1024,3.7912
53,1024,3.4192
54,1024,3.2003999999999997
55,1024,4.7124999999999995
56,1024,4.8726009999999995
57,1024,4.827
58,1024,3.4642
59,1024,3.4333
60,1024,3.8240999999999996
61,1024,4.8635
62,1024,3.8144
63,1024,3.6639999999999997
64,1024,3.7171999999999996
65,1024,3.778599
66,1024,3.5101999999999998
67,1024,3.798699
68,1024,3.4670989999999997
69,1024,3.4581999999999997
70,1024,3.4048
71,1024,3.994499
72,1024,3.4415999999999998
73,1024,3.4238
74,1024,3.4752009999999998
75,1024,3.6445999999999996
76,1024,3.529499
77,1024,4.2924
78,1024,3.4383
79,1024,3.413001
80,1024,3.991101
81,1024,4.1356
82,1024,3.9307999999999996
83,1024,3.974601
84,1024,3.9875
85,1024,3.8562
86,1024,3.3493
87,1024,3.739
88,1024,3.2475
89,1024,3.7517009999999997
90,1024,3.2530989999999997
91,1024,3.3573009999999996
92,1024,3.7390999999999996
93,1024,3.3716999999999997
94,1024,3.284399
95,1024,3.2468999999999997
96,1024,4.216699
97,1024,3.408
98,1024,3.1989
99,1024,3.278101
100,1024,3.7180999999999997
1,2048,12.5301
2,2048,14.025298999999999
3,2048,19.8691
4,2048,21.4542
5,2048,24.874401
6,2048,15.5848
7,2048,15.9865
8,2048,14.292399999999999
9,2048,13.9766
10,2048,13.651499999999999
11,2048,14.3426
12,2048,13.026701
13,2048,12.9596
14,2048,12.636
15,2048,12.6726
16,2048,13.059301
17,2048,12.452199
18,2048,12.396899999999999
19,2048,12.298499999999999
20,2048,12.146901
21,2048,12.313901
22,2048,12.150699999999999
23,2048,12.179998999999999
24,2048,12.273601
25,2048,12.430100999999999
26,2048,12.682699999999999
27,2048,12.675899999999999
28,2048,12.584799
29,2048,12.521901
30,2048,12.405999999999999
31,2048,12.4252
32,2048,12.903099
33,2048,12.712299999999999
34,2048,12.726099999999999
35,2048,12.6485
36,2048,12.663101
37,2048,13.679801
38,2048,20.549599999999998
39,2048,14.6829
40,2048,17.3967
41,2048,17.8431
42,2048,14.022599999999999
43,2048,13.5306
44,2048,13.1543
45,2048,12.911799
46,2048,12.875
47,2048,17.614701
48,2048,12.403001
49,2048,12.4374
50,2048,12.389101
51,2048,12.537301
52,2048,13.9923
53,2048,13.440199
54,2048,13.467799999999999
55,2048,13.251399999999999
56,2048,13.9741
57,2048,12.7891
58,2048,12.8521
59,2048,13.171199999999999
60,2048,12.7663
61,2048,12.5465
62,2048,12.549999999999999
63,2048,12.6154
64,2048,12.368701
65,2048,12.6609
66,2048,12.653099
67,2048,13.340499999999999
68,2048,12.8864
69,2048,12.3888
70,2048,12.6767
71,2048,12.564499999999999
72,2048,12.591299999999999
73,2048,12.9118
74,2048,13.066400999999999
75,2048,12.5772
76,2048,12.6894
77,2048,12.613499
78,2048,12.4877
79,2048,12.340399999999999
80,2048,12.730300999999999
81,2048,12.5495
82,2048,13.266499999999999
83,2048,13.170601
84,2048,13.391300999999999
85,2048,13.7738
86,2048,17.920199999999998
87,2048,21.684801
88,2048,15.6817
89,2048,15.103
90,2048,16.907799999999998
91,2048,15.168801
92,2048,15.359100999999999
93,2048,20.343299
94,2048,15.246699999999999
95,2048,15.906699999999999
96,2048,15.255701
97,2048,15.801098999999999
98,2048,14.8048
99,2048,18.6909
100,2048,14.453199999999999
1,4096,58.6735
2,4096,55.9966
3,4096,55.161699999999996
4,4096,55.467099999999995
5,4096,52.594899999999996
6,4096,53.9244
7,4096,54.738099999999996
8,4096,51.779401
9,4096,67.255999
10,4096,61.562101
11,4096,56.5513
12,4096,54.0227
